City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
421,Matara,LK,83.57,clear sky,5.9485,80.5353,Amaloh Boutique Resort
423,Salalah,OM,77.13,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
426,Panama City,PA,78.42,few clouds,8.9936,-79.5197,Riande Urban Hotel
428,Ferkessedougou,CI,67.3,clear sky,9.6,-5.2,Hotel Chateau
435,Biak,ID,84.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
436,Davila,PH,85.98,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
437,Savalou,BJ,74.01,clear sky,7.9281,1.9756,Hotel F&F
442,The Valley,AI,77.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
444,Kapoeta,SS,81.45,overcast clouds,4.7717,33.5903,Eastgate Hotel
445,La Palma,US,61.99,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
446,Paragominas,BR,71.6,light rain,-2.9667,-47.4833,INOVA
450,Mecca,SA,70.83,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
451,Sulangan,PH,78.4,overcast clouds,11.1373,123.7228,Maia's Beach Resort
455,Torit,SS,78.8,overcast clouds,4.4133,32.5678,Diplomat Guest House
456,Pauini,BR,72.09,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
458,Kananga,CD,65.17,overcast clouds,-5.8958,22.4178,Guest House Wood Land
460,Nanakuli,US,76.95,clear sky,21.3906,-158.1547,Camp Pālehua
461,Tambura,SS,73.13,overcast clouds,5.6,27.4667,Rikito Lodge
463,Kudahuvadhoo,MV,81.45,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
464,Sibolga,ID,84.16,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
470,Sharjah,AE,71.58,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
472,Leticia,CO,77.05,moderate rain,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
474,Nelson,NZ,70.81,moderate rain,-41.2833,173.2833,Rutherford Hotel Nelson
478,Barmer,IN,69.69,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
479,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
481,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
486,Pindiga,NG,61.83,few clouds,9.9833,10.9333,Accommodation Center
488,Nicoya,CR,74.75,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
492,Lagunas,PE,73.31,light rain,-5.2269,-75.6753,Hospedaje Eco
496,Tabuk,PH,80.35,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
500,Sungaipenuh,ID,74.88,broken clouds,-2.0833,101.3833,penginapan citra alam
501,Batticaloa,LK,79.74,clear sky,7.7102,81.6924,Grand Star Guest House
503,Wad Madani,SD,70.48,few clouds,14.4012,33.5199,فندق يوغسلافيا
506,Mabaruma,GY,71.49,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
509,Santa Luzia,BR,70.7,clear sky,-19.7697,-43.8514,Pousada Chao Earth
511,Addanki,IN,83.16,scattered clouds,15.8167,79.9833,A Home
514,San Juan,AR,69.8,clear sky,-31.5375,-68.5364,Hotel Provincial
